Area_km2,Class,Percent_of_total,year_group,year_label
39.74977405474209,NoData,11.415364613721868,2000_2001,2000–2001
23.734762474627548,Other,6.816163716926438,2000_2001,2000–2001
348.2129165367244,Total,100,2000_2001,2000–2001
27.24981368963776,Urban,7.825618291435163,2000_2001,2000–2001
308.4631424819823,Valid_data,88.58463538627814,2000_2001,2000–2001
186.0049269153218,Vegetation,53.41700955992674,2000_2001,2000–2001
80.47712479294199,Water,23.111470301950863,2000_2001,2000–2001
0.00818721636966302,NoData,0.00235120984341761,2005_2006,2005–2006
36.84498988616353,Other,10.581166905759416,2005_2006,2005–2006
348.2129165367244,Total,100,2005_2006,2005–2006
97.78653113754513,Urban,28.082396285041895,2005_2006,2005–2006
348.2047293203547,Valid_data,99.99764879015656,2005_2006,2005–2006
220.47478039349105,Vegetation,63.316083328068785,2005_2006,2005–2006
29.048441498434965,Water,8.342149334190871,2005_2006,2005–2006
0.00163999633792855,NoData,4.709751591755178e-4,2010_2011,2010–2011
26.83507143892126,Other,7.70651235623854,2010_2011,2010–2011
348.2129165367244,Total,100,2010_2011,2010–2011
96.2155541466506,Urban,27.63124214448926,2010_2011,2010–2011
348.21127654038645,Valid_data,99.99952902484084,2010_2011,2010–2011
188.90214507448812,Vegetation,54.24903445664271,2010_2011,2010–2011
59.72127635040589,Water,17.15079295288214,2010_2011,2010–2011
1.1368683772161605e-13,NoData,3.2648656130372474e-14,2015_2016,2015–2016
10.923990970601416,Other,3.1371584601886284,2015_2016,2015–2016
348.2129165367244,Total,100,2015_2016,2015–2016
48.896737257641995,Urban,14.042195144270323,2015_2016,2015–2016
348.21291653672426,Valid_data,99.99999999999996,2015_2016,2015–2016
225.12073939090288,Vegetation,64.65031269658846,2015_2016,2015–2016
71.93015223747949,Water,20.656945455351412,2015_2016,2015–2016
5.684341886080803e-14,NoData,1.6324328065186234e-14,2020_2021,2020–2021
13.904463336908805,Other,3.993092351426994,2020_2021,2020–2021
348.2129165367244,Total,100,2020_2021,2020–2021
99.41431198636865,Urban,28.54986339252693,2020_2021,2020–2021
348.2129165367243,Valid_data,100,2020_2021,2020–2021
236.5245885703228,Vegetation,67.92527713295713,2020_2021,2020–2021
23.08891306419367,Water,6.630688285154003,2020_2021,2020–2021
5.684341886080803e-14,NoData,1.6324328065186234e-14,2024_2025,2024–2025
7.8997264957620095,Other,2.2686483242297713,2024_2025,2024–2025
348.2129165367244,Total,100,2024_2025,2024–2025
83.64422351630209,Urban,24.02099966543904,2024_2025,2024–2025
348.2129165367243,Valid_data,100,2024_2025,2024–2025
202.63227077531968,Vegetation,58.19206041828405,2024_2025,2024–2025
69.65174422221922,Water,20.002630837180156,2024_2025,2024–2025
