year_label,Urban,Vegetation,Water
2000–2001,27.24981368963776,186.0049269153218,80.47712479294199
2005–2006,97.78653113754513,220.47478039349105,29.048441498434965
2010–2011,96.2155541466506,188.90214507448812,59.72127635040589
2015–2016,48.896737257641995,225.12073939090288,71.93015223747949
2020–2021,99.41431198636865,236.5245885703228,23.08891306419367
2024–2025,83.64422351630209,202.63227077531968,69.65174422221922
