Year Block,Satellite Image,Total Scene Taken
2000Ð2001 (Landsat 7 ETM+),,
2005Ð2006 (Landsat 5 TM),,
2010Ð2011 (Landsat 5 TM),,
2015Ð2016 (Landsat 8 OLI/TIRS),,
2020Ð2021 (Landsat 8 OLI/TIRS),,
2024Ð2025 (Landsat 9 OLI-2/TIRS-2),,
