system:index,Class,LST_C,.geo
1_1315,Urban,43.753396459999976,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1327,Urban,41.680367330000024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1362,Urban,44.86083494000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1363,Urban,37.90174622000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1380,Urban,38.76821429,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1433,Urban,38.31361763000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1509,Urban,41.04290660000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1521,Urban,43.291963760000016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1554,Urban,35.469824990000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1570,Urban,35.73472154000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1594,Urban,38.43495733999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1606,Urban,39.31167947000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1610,Urban,43.53464317999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1634,Urban,36.98229884,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1687,Urban,43.175751080000055,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1767,Urban,43.944805580000036,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1841,Urban,42.898891460000016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1856,Urban,45.684577760000025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1864,Urban,45.54443894000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1909,Urban,36.76696358000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1923,Urban,43.97214974000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1937,Urban,35.86802432000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1939,Urban,42.09223874000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1940,Urban,44.31395173999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1945,Urban,37.73597225,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1973,Urban,35.92783967,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1975,Urban,38.14100762000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2004,Urban,38.89297202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2010,Urban,43.37057822000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2025,Urban,42.056349530000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2051,Urban,40.596854990000026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2062,Urban,44.55663116000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2077,Urban,47.36282558000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2134,Urban,41.87177645000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2143,Urban,44.1533048,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2172,Urban,42.772424720000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2193,Urban,41.33172929000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2215,Urban,42.519491240000036,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2246,Urban,44.04392816000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2284,Urban,41.09417689999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2285,Urban,42.43404074000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2352,Urban,39.47916244999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2356,Urban,44.02000201999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2372,Urban,45.506840720000014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2396,Urban,39.58341206,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2426,Urban,41.750436740000055,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2444,Urban,40.73357579000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2510,Urban,42.12470993000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2518,Urban,42.890346410000035,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2532,Urban,40.484060330000034,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2536,Urban,41.21722562000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2543,Urban,47.23294082000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2583,Urban,40.10978713999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2592,Urban,38.80752152000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2594,Urban,40.198655659999986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2635,Urban,36.50377604000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2653,Urban,36.51744812000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2669,Urban,42.017042300000014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2672,Urban,43.29879979999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2684,Urban,48.07035572000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2685,Urban,41.330020279999985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2696,Urban,44.864252960000044,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2712,Urban,36.514030100000014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2731,Urban,35.05111754000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2750,Urban,43.72947032000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2761,Urban,41.25824186,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2817,Urban,45.780282320000026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2824,Urban,39.29971640000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2846,Urban,37.37708015000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2871,Urban,36.02867126000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2900,Urban,47.16116240000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2907,Urban,33.30450932000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2936,Urban,49.78961978000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2946,Urban,47.29788320000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2952,Urban,40.613945090000016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2956,Urban,44.26097243000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2965,Urban,43.192841180000016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2966,Urban,37.35144500000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2986,Urban,39.85856267,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3000,Urban,43.179169100000024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3087,Urban,45.23339912000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3099,Urban,43.83030191,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3102,Urban,51.42343334000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3156,Urban,54.335586379999995,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3187,Urban,38.00257780999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3242,Urban,42.206742410000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3272,Urban,42.596396690000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3298,Urban,31.48099565000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3305,Urban,42.37764341000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3321,Urban,49.33160510000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3322,Urban,44.50194284,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3331,Urban,35.792827880000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3350,Urban,43.11251771000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3379,Urban,54.142468250000036,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3407,Urban,42.08540270000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3416,Urban,42.51265520000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3425,Urban,44.24559134000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3428,Urban,41.473577120000016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3464,Urban,41.99824318999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3467,Urban,49.06841756000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3493,Urban,37.95130750999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3506,Urban,43.00485008000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3515,Urban,35.181002300000046,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3538,Urban,50.08015148000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3556,Urban,38.41786724000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3581,Urban,40.61223608,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3628,Urban,40.30803229999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3684,Urban,42.423786680000035,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3699,Urban,41.87690348000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3706,Urban,39.39200294,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3720,Urban,36.38585435000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3732,Urban,43.18600514000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3743,Urban,42.485311040000056,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3753,Urban,47.92679887999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3769,Urban,42.160599140000045,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3775,Urban,42.55025341999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3782,Urban,45.48462359000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3831,Urban,42.825404030000016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3841,Urban,44.22166520000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3846,Urban,30.658961840000018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3858,Urban,38.38368704000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3878,Urban,44.021711030000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3882,Urban,40.64299826000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3905,Urban,42.59126966000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3967,Urban,38.98184054000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3983,Urban,46.22120690000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4054,Urban,40.36613864000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4072,Urban,45.24707120000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4095,Urban,44.61473750000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4187,Urban,39.55264987999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4192,Urban,39.09976223000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4195,Urban,45.50000468000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4197,Urban,41.75727278000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4207,Urban,42.729699470000014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4272,Urban,42.79293284000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4277,Urban,41.82221516000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4298,Urban,27.635723150000018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4342,Urban,41.44110593000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4359,Urban,36.07994156000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4375,Urban,37.91200028000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4378,Urban,40.24308992000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4424,Urban,42.38277044,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4439,Urban,37.435186490000035,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4460,Urban,39.41592908000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4493,Urban,43.131316819999995,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4494,Urban,35.19467438000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4501,Urban,45.404300120000016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4510,Urban,35.153658140000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4560,Urban,47.468784200000016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4581,Urban,43.57224140000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4627,Urban,37.864148,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4725,Urban,38.50844477000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4735,Urban,39.62442829999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4796,Urban,35.48520608000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4862,Urban,35.89195046000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4877,Urban,43.48849991,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4899,Urban,42.22554151999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4909,Urban,46.59377108000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4939,Urban,43.72605229999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4977,Urban,45.67774172000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4987,Urban,45.373537940000034,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5013,Urban,42.36226232000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5021,Urban,35.65268906000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5036,Urban,45.455570420000015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5047,Urban,31.626261500000055,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5059,Urban,23.183752099999992,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5082,Urban,38.65029260000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5092,Urban,40.51311350000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5106,Urban,42.61519580000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5109,Urban,40.31828636,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5168,Urban,41.183045419999985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5227,Urban,44.10203450000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5249,Urban,36.87975824,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5261,Urban,47.157744380000054,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5262,Urban,39.781657220000056,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5267,Urban,40.48918736000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5283,Urban,43.89353528000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5300,Urban,44.27977154000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5304,Urban,44.64208166000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5340,Urban,39.448400270000036,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5377,Urban,37.99915979000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5404,Urban,44.26609946000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5422,Urban,39.58341206,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5460,Urban,40.75921094000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5461,Urban,40.50627745999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5481,Urban,37.08142142000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5530,Urban,43.56198734,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5532,Urban,45.05566208000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5664,Urban,36.11412175999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5693,Urban,40.1713115,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5702,Urban,49.78278374000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5704,Urban,35.733012530000025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5709,Urban,42.90230948000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5723,Urban,43.50900803000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5732,Urban,44.63182760000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5737,Urban,42.090529730000014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5740,Urban,38.713525970000035,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5743,Urban,38.164933760000025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5748,Urban,43.72605229999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5803,Urban,35.47153400000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5882,Urban,43.85935508,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5898,Urban,41.91450170000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5910,Urban,42.88692839000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5923,Urban,45.65723360000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5971,Urban,32.88921988999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5982,Urban,45.06078911,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5999,Urban,47.304719240000054,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6013,Urban,46.651877420000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6025,Urban,39.88590683000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6043,Urban,31.09988642000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
