system:index,date,mean_MNDWI,.geo
LC08_137043_20200517,2020-05-17,-0.14114746706245823,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_137043_20200602,2020-06-02,-0.1284958356634041,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_137043_20210402,2021-04-02,-0.12668673333952835,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_137043_20210418,2021-04-18,-0.1514793989966894,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_137044_20200517,2020-05-17,-0.14137653220236293,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_137044_20200602,2020-06-02,-0.12684602755440144,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_137044_20210402,2021-04-02,-0.12599159137894445,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_137044_20210418,2021-04-18,-0.15204006470506756,"{""type"":""MultiPoint"",""coordinates"":[]}"
