Column1,"2000/2001
(Landsat 7)
p75","2005/2006 
(Landsat 5)
p75","2010/2011 
(Landsat 5)
p75","2015/2016 
(Landsat 8)
p75","2020/2021
 (Landsat 8)
p75","2024/2025 
(Landsat 8/9)
p75",Column2
Rural Mean ¡C,42.72,40.3,34.76,39.16,36.35,36.43,
Urban Mean ¡C,45.67,42.27,36.67,43.89,39.62,40.3,
SUHI Mean ¡C,2.94,1.97,1.91,4.73,3.26,3.87,
SUHI p90 ¡C,8.7,5.68,7.19,8.18,7.18,6.3,
SUHI p95 ¡C,10.74,6.68,8.94,9.31,8.56,7.18,
SUHI Standard Deviation ¡C,5.56,2.96,3.76,2.89,2.88,2.06,
Urban Area km_,27.24,97.78,96.21,48.89,99.41,83.64,
Rural/Vagetated Area km_,186,220.47,188.9,225.12,236.52,202.63,
Waterbody km_,80.47,29.04,59.72,71.93,23.08,69.65,
Others km_,23.73,36.84,26.83,10.92,13.9,7.89,
Total Area km_,348.21,348.21,348.21,348.21,348.21,348.21,
