system:index,date,pass50,validPct,.geo
2_LC09_137043_20250405,2025-04-05,1,100.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137043_20240426,2024-04-26,1,99.99948363524152,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137043_20250413,2025-04-13,1,99.99302907576045,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137043_20240402,2024-04-02,1,99.84503893597838,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137043_20240418,2024-04-18,1,99.7787660504265,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137044_20250405,2025-04-05,1,98.88902907235853,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137044_20240426,2024-04-26,1,98.5221488740145,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137044_20240418,2024-04-18,1,98.21094089647464,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137044_20240402,2024-04-02,1,98.0168140717618,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137043_20240520,2024-05-20,1,95.82617809556191,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137044_20240512,2024-05-12,1,94.17780408920594,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137043_20250507,2025-05-07,1,93.71000799241523,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137043_20250429,2025-04-29,1,91.82378220358174,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137044_20250507,2025-05-07,1,90.75307861478288,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137043_20240512,2024-05-12,1,87.95823917227905,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137044_20250429,2025-04-29,1,84.69272515257593,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137044_20250413,2025-04-13,1,84.23444737949995,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137043_20250531,2025-05-31,1,83.79295854843427,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137043_20250608,2025-06-08,1,79.99362664140843,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137044_20250608,2025-06-08,1,78.39849591653183,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137044_20240707,2024-07-07,1,66.1569130645559,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137043_20240707,2024-07-07,1,62.83067556173475,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137043_20250718,2025-07-18,1,60.102102929903246,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137043_20240504,2024-05-04,1,56.771106771464694,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137044_20250718,2025-07-18,1,55.727755327666785,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137044_20240504,2024-05-04,1,53.3482726095296,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137043_20240605,2024-06-05,1,50.31483518684826,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137044_20250523,2025-05-23,0,39.272552010612486,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137043_20250523,2025-05-23,0,37.79568400262796,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137044_20240605,2024-06-05,0,30.9582795398534,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137044_20250531,2025-05-31,0,21.102710913969574,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137043_20250616,2025-06-16,0,16.18585530926903,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137044_20250616,2025-06-16,0,8.680137151744752,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137044_20240621,2024-06-21,0,6.043006643761604,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137044_20240715,2024-07-15,0,3.4987812931091793,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137043_20250624,2025-06-24,0,2.898017221088689,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137043_20240715,2024-07-15,0,1.1177616304555418,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137044_20240520,2024-05-20,0,1.0525326116997464,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137044_20250624,2025-06-24,0,0.150146722008684,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137043_20240410,2024-04-10,0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137043_20250515,2025-05-15,0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137043_20250702,2025-07-02,0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137044_20240410,2024-04-10,0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137044_20240528,2024-05-28,0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137044_20240613,2024-06-13,0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LC08_137044_20250515,2025-05-15,0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137043_20250421,2025-04-21,0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137043_20250726,2025-07-26,0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_LC09_137044_20250421,2025-04-21,0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
