group_year,system:index,date_local,hour_local,minute_local,scene_id,sensor,year_month,.geo
2024/2025,1_LC08_137044_20240512,5/12/24,10,24,1_LC08_137044_20240512,LS89,2024-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024/2025,2_LC09_137043_20240605,6/5/24,10,23,2_LC09_137043_20240605,LS89,2024-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024/2025,2_LC09_137043_20240707,7/7/24,10,23,2_LC09_137043_20240707,LS89,2024-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024/2025,2_LC09_137044_20240707,7/7/24,10,24,2_LC09_137044_20240707,LS89,2024-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024/2025,2_LC09_137043_20250405,4/5/25,10,24,2_LC09_137043_20250405,LS89,2025-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024/2025,2_LC09_137044_20250405,4/5/25,10,24,2_LC09_137044_20250405,LS89,2025-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024/2025,1_LC08_137043_20250413,4/13/25,10,23,1_LC08_137043_20250413,LS89,2025-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024/2025,1_LC08_137044_20250413,4/13/25,10,24,1_LC08_137044_20250413,LS89,2025-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024/2025,1_LC08_137043_20250429,4/29/25,10,23,1_LC08_137043_20250429,LS89,2025-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024/2025,1_LC08_137044_20250429,4/29/25,10,24,1_LC08_137044_20250429,LS89,2025-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024/2025,2_LC09_137043_20250507,5/7/25,10,24,2_LC09_137043_20250507,LS89,2025-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024/2025,2_LC09_137044_20250507,5/7/25,10,24,2_LC09_137044_20250507,LS89,2025-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024/2025,1_LC08_137043_20250531,5/31/25,10,23,1_LC08_137043_20250531,LS89,2025-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024/2025,2_LC09_137043_20250608,6/8/25,10,23,2_LC09_137043_20250608,LS89,2025-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024/2025,2_LC09_137044_20250608,6/8/25,10,24,2_LC09_137044_20250608,LS89,2025-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024/2025,1_LC08_137043_20250718,7/18/25,10,24,1_LC08_137043_20250718,LS89,2025-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024/2025,1_LC08_137044_20250718,7/18/25,10,24,1_LC08_137044_20250718,LS89,2025-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
