year_block,year_label,UrbanMean_LST_p75_C,RuralVegMean_LST_p75_C,Delta_LST_C
2000_2001,2000–2001,45.67222003372422,42.72853119914154,2.94368883458268
2005_2006,2005–2006,42.279140356881626,40.30365692201361,1.9754834348680177
2010_2011,2010–2011,36.67904232002497,34.76430937856318,1.9147329414617857
2015_2016,2015–2016,43.89778822833231,39.164111507966084,4.733676720366226
2020_2021,2020–2021,39.62400761375622,36.35787629267218,3.266131321084039
2024_2025,2024–2025,40.30822701671048,36.43663883224773,3.8715881844627518
