system:index,Class,LST_C,.geo
1_484,Urban,42.17427122000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_492,Urban,34.17097739000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_494,Urban,36.80114378000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_500,Urban,34.47518117000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_511,Urban,44.70702404000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_525,Urban,38.19911395999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_526,Urban,41.42743385,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_533,Urban,32.97467039000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_534,Urban,36.05943344000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_539,Urban,40.05509882000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_543,Urban,38.61098537000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_544,Urban,41.78974397000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_547,Urban,39.09463520000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_552,Urban,37.22839628,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_557,Urban,39.73038692,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_562,Urban,35.99278205000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_565,Urban,39.39200294,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_567,Urban,40.78655509999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_569,Urban,36.661004960000014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_591,Urban,43.50388099999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_633,Urban,40.017500600000034,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_635,Urban,38.28798247999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_636,Urban,37.47107570000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_650,Urban,37.73084521999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_662,Urban,39.689370680000025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_668,Urban,36.57726347000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_672,Urban,39.188630750000016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_674,Urban,37.60096046000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_676,Urban,37.92909038000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_677,Urban,41.40521672000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_678,Urban,37.78553354000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_679,Urban,35.00668328000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_680,Urban,38.46913754000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_700,Urban,35.69712332000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_701,Urban,43.50388099999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_704,Urban,43.490208919999986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_726,Urban,37.655648780000035,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_732,Urban,37.94959849999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_734,Urban,46.53908276000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_736,Urban,40.14396734000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
