year_group,rural_mean_c,urban_mean_c,suhi_mean_c,suhi_sd,urban_km2,veg_km2,water_km2,other_km2,total_km2,n_scenes,ERA5_mean,ERA5_sd,ERA5_p25,ERA5_p50,ERA5_p75
2000_2001,42.72,45.67,2.94,5.56,27.24,186,80.47,23.73,348.21,5,31.779276326497396,1.4574354434256094,30.286292724609385,31.93140157063806,33.19619730631507
2005_2006,40.3,42.27,1.97,2.96,97.78,220.47,29.04,36.84,348.21,4,32.47853729248048,1.320114789750303,31.990770416259764,32.30167317708333,32.78944005330405
2010_2011,34.76,36.67,1.91,3.76,96.21,188.9,59.72,26.83,348.21,5,33.2104852701823,2.6551737961642603,32.00945536295575,32.95752197265625,32.95752197265625
2015_2016,39.16,43.89,4.73,2.89,48.89,225.12,71.93,10.92,348.21,11,30.67223960182885,2.1730257888414792,28.74626800537112,30.896557413737018,32.3243963623047
2020_2021,36.35,39.62,3.26,2.88,99.41,236.52,23.08,13.9,348.21,8,32.3801863606771,1.0514563238650234,32.05318552652993,32.63593983968099,32.96294067382816
2024_2025,36.43,40.3,3.87,2.06,83.64,202.63,69.65,7.89,348.21,26,33.37184057781495,2.6884926863223644,31.788347788721197,33.354850037179204,34.69999626077225
